Suggestion_ID, Type, Date
1, 'Suggestion de playlists basée sur les habitudes écoute', '2020-04-14'
2, 'Suggestion de Groupe', '2021-04-20'
3, 'Suggestion de playlists basée sur les habitudes écoute', '2021-02-18'
4, 'Suggestion de Contenu', '2021-09-23'
5, 'Suggestion amis en fonction des intérêts communs', '2023-01-22'
6, 'Suggestion amis basée sur des amis communs', '2022-10-29'
7, 'Suggestion de groupes participant à des événements', '2022-07-28'
8, 'Suggestion de Groupe', '2020-10-21'
9, 'Suggestion de playlists basée sur les habitudes écoute', '2020-02-21'
10, 'Suggestion de contenu basée sur les publications précédentes', '2022-01-14'
11, 'Suggestion de groupes participant à des événements', '2022-11-30'
12, 'Suggestion de groupes participant à des événements', '2020-07-15'
13, 'Suggestion de groupes participant à des événements', '2023-01-19'
14, 'Suggestion de Groupe', '2023-06-29'
15, 'Suggestion de playlists basée sur les habitudes écoute', '2021-05-07'
16, 'Suggestion de groupes basée sur des membres amis', '2021-02-01'
17, 'Suggestion de Groupe', '2022-10-05'
18, 'Suggestion de playlists basée sur les habitudes écoute', '2024-03-02'
19, 'Suggestion de Groupe', '2020-01-24'
20, 'Suggestion de groupes en fonction des genres musicaux préférés', '2024-03-07'
21, 'Suggestion de contenu basée sur les publications précédentes', '2020-01-21'
22, 'Suggestion événement/concert basée sur les préférences musicales', '2022-09-21'
23, 'Suggestion de Playlist', '2021-06-04'
24, 'Suggestion amis en fonction des intérêts communs', '2020-08-27'
25, 'Suggestion de groupes en fonction des genres musicaux préférés', '2022-07-20'
26, 'Suggestion amis basée sur des amis communs', '2021-02-26'
27, 'Suggestion Ami', '2021-07-16'
28, 'Suggestion de contenu basée sur les publications précédentes', '2023-05-01'
29, 'Suggestion amis basée sur des amis communs', '2022-10-01'
30, 'Suggestion de Contenu', '2021-02-12'
31, 'Suggestion de Playlist', '2023-10-28'
32, 'Suggestion de playlists basée sur les habitudes écoute', '2020-12-07'
33, 'Suggestion amis en fonction des intérêts communs', '2020-04-16'
34, 'Suggestion Ami', '2022-10-28'
35, 'Suggestion événement/concert basée sur les préférences musicales', '2021-06-19'
36, 'Suggestion de contenu basée sur les publications précédentes', '2024-01-02'
37, 'Suggestion de Groupe', '2020-03-25'
38, 'Suggestion de Groupe', '2023-10-11'
39, 'Suggestion amis basée sur des amis communs', '2022-04-29'
40, 'Suggestion de contenu basée sur les publications précédentes', '2021-07-07'
41, 'Suggestion amis basée sur des amis communs', '2021-07-02'
42, 'Suggestion amis basée sur des amis communs', '2022-06-08'
43, 'Suggestion événement/concert basée sur les préférences musicales', '2022-07-29'
44, 'Suggestion musicale', '2020-08-12'
45, 'Suggestion de Contenu', '2022-09-27'
46, 'Suggestion de groupes basée sur des membres amis', '2020-12-18'
47, 'Suggestion de contenu basée sur les publications précédentes', '2020-08-15'
48, 'Suggestion de Groupe', '2020-06-30'
49, 'Suggestion de Groupe', '2022-01-19'
50, 'Suggestion de Groupe', '2023-06-02'
51, 'Suggestion de groupes en fonction des genres musicaux préférés', '2020-10-12'
52, 'Suggestion de groupes en fonction des genres musicaux préférés', '2020-01-31'
53, 'Suggestion amis en fonction des intérêts communs', '2021-07-24'
54, 'Suggestion de contenu basée sur les publications précédentes', '2023-05-01'
55, 'Suggestion de groupes participant à des événements', '2021-06-23'
56, 'Suggestion de groupes basée sur des membres amis', '2022-01-25'
57, 'Suggestion amis basée sur des amis communs', '2022-10-15'
58, 'Suggestion de contenu basée sur les publications précédentes', '2020-12-15'
59, 'Suggestion de contenu basée sur les publications précédentes', '2020-07-14'
60, 'Suggestion de Playlist', '2022-06-01'
61, 'Suggestion de Groupe', '2022-03-23'
62, 'Suggestion amis basée sur des amis communs', '2021-10-12'
63, 'Suggestion musicale', '2024-04-19'
64, 'Suggestion de groupes en fonction des genres musicaux préférés', '2023-09-03'
65, 'Suggestion musicale', '2023-07-06'
66, 'Suggestion de playlists basée sur les habitudes écoute', '2022-11-03'
67, 'Suggestion de groupes basée sur des membres amis', '2020-07-22'
68, 'Suggestion de groupes participant à des événements', '2023-05-03'
69, 'Suggestion de contenu basée sur les publications précédentes', '2020-03-30'
70, 'Suggestion de groupes basée sur des membres amis', '2021-09-16'
71, 'Suggestion événement/concert basée sur les préférences musicales', '2022-01-10'
72, 'Suggestion Ami', '2021-05-29'
73, 'Suggestion de Groupe', '2020-03-24'
74, 'Suggestion amis basée sur des amis communs', '2022-09-18'
75, 'Suggestion de groupes basée sur des membres amis', '2023-07-11'
76, 'Suggestion événement/concert basée sur les préférences musicales', '2021-08-08'
77, 'Suggestion de groupes en fonction des genres musicaux préférés', '2020-06-30'
78, 'Suggestion de contenu basée sur les publications précédentes', '2020-09-07'
79, 'Suggestion de playlists basée sur les habitudes écoute', '2023-07-29'
80, 'Suggestion amis basée sur des amis communs', '2021-03-18'
81, 'Suggestion musicale', '2020-04-27'
82, 'Suggestion de groupes participant à des événements', '2020-06-13'
83, 'Suggestion musicale', '2020-03-19'
84, 'Suggestion de groupes en fonction des genres musicaux préférés', '2020-10-15'
85, 'Suggestion Ami', '2021-03-20'
86, 'Suggestion de contenu basée sur les publications précédentes', '2020-03-10'
87, 'Suggestion amis en fonction des intérêts communs', '2023-06-25'
88, 'Suggestion de Contenu', '2023-11-14'
89, 'Suggestion de contenu basée sur les publications précédentes', '2021-09-23'
90, 'Suggestion de groupes basée sur des membres amis', '2020-10-10'
91, 'Suggestion de Playlist', '2020-04-29'
92, 'Suggestion de groupes basée sur des membres amis', '2022-12-08'
93, 'Suggestion Ami', '2023-10-30'
94, 'Suggestion de groupes participant à des événements', '2024-02-11'
95, 'Suggestion de contenu basée sur les publications précédentes', '2023-04-10'
96, 'Suggestion de groupes en fonction des genres musicaux préférés', '2021-05-16'
97, 'Suggestion de groupes basée sur des membres amis', '2023-09-04'
98, 'Suggestion amis basée sur des amis communs', '2021-04-30'
99, 'Suggestion de Playlist', '2023-07-25'
100, 'Suggestion de Playlist', '2021-03-05'
101, 'Suggestion événement/concert basée sur les préférences musicales', '2020-11-19'
102, 'Suggestion de groupes basée sur des membres amis', '2022-12-28'
103, 'Suggestion amis basée sur des amis communs', '2022-05-28'
104, 'Suggestion amis en fonction des intérêts communs', '2022-04-02'
105, 'Suggestion de Contenu', '2021-10-10'
106, 'Suggestion de playlists basée sur les habitudes écoute', '2022-08-17'
107, 'Suggestion de playlists basée sur les habitudes écoute', '2024-04-18'
108, 'Suggestion musicale', '2020-06-07'
109, 'Suggestion de contenu basée sur les publications précédentes', '2021-09-20'
110, 'Suggestion de playlists basée sur les habitudes écoute', '2022-11-03'
111, 'Suggestion amis en fonction des intérêts communs', '2023-01-18'
112, 'Suggestion de Contenu', '2023-08-19'
