Archive_Id, Concert_Id, Avis_Id, Date_archivage, Nb_participants, Avis_participants, Photo_path, Video_path
3, 20, 12, '2023-07-27', 87, 'Window thing effort building happy garden. First alone about century put education. Should wall contain.', '/chemin/vers/photos/mouth.css', '/chemin/vers/videos/detail.odt'
5, 7, 25, '2023-11-20', 254, 'Arm mouth soon trade. Expert describe safe manage top should history assume. Recognize writer pressure green. Almost court never word second nice.', '/chemin/vers/photos/table.numbers', '/chemin/vers/videos/team.wav'
6, 2, 16, '2023-11-12', 120, 'Third attention white collection executive. Catch smile middle.', '/chemin/vers/photos/according.mov', '/chemin/vers/videos/medical.key'
12, 8, 4, '2023-08-23', 287, 'Where director executive travel believe. Little successful station economy three positive eat law. Store individual consider popular put this morning.', '/chemin/vers/photos/group.webm', '/chemin/vers/videos/memory.odt'
15, 12, 10, '2023-12-21', 453, 'Property prevent door two leave run sound. True summer Mrs. Not street light do sing magazine part. Project environment edge environmental.', '/chemin/vers/photos/return.key', '/chemin/vers/videos/one.flac'
17, 18, 16, '2024-02-07', 184, 'Modern relate Republican kid scene attention. Several where down trial particularly enter however.', '/chemin/vers/photos/soon.wav', '/chemin/vers/videos/discussion.jpeg'
18, 22, 3, '2024-01-29', 455, 'Buy white fight likely. Hotel parent answer break. When tough natural parent every simply commercial. Cover probably role late big them.', '/chemin/vers/photos/suddenly.jpg', '/chemin/vers/videos/future.mov'
21, 2, 21, '2023-07-17', 418, 'Hear exactly pull music. Town election young head figure career control keep. Realize poor account.', '/chemin/vers/photos/and.mp4', '/chemin/vers/videos/business.wav'
22, 6, 1, '2024-04-22', 212, 'Simply something wait maintain security chance out. Appear show tax hold prepare be young. Drop change guy blue enjoy officer.', '/chemin/vers/photos/politics.avi', '/chemin/vers/videos/free.webm'
23, 10, 2, '2023-08-22', 303, 'Affect down environmental respond side word however.', '/chemin/vers/photos/about.wav', '/chemin/vers/videos/perform.json'
24, 13, 4, '2024-02-08', 481, 'Certainly specific off soon. Which west learn system move because police different. Themselves cover miss pick century teach here.', '/chemin/vers/photos/once.xlsx', '/chemin/vers/videos/money.xls'
